Last,First,Grade,Primary,Secondary,Final
Young,Don,8,Silkscreen,Rocket Science,Acapella Group
Murkowski,Lisa,8,Songwriting,Math Help w/Sam,D&D and other TTRPGs
Sullivan,Dan,10,Silkscreen,Rocket Science,Community Service/Career Exploration
Byrne,Bradley,9,Songwriting,Songwriting,Songwriting
Roby,Martha,12,,,
Rogers,Mike,6,D&D and other TTRPGs,Acapella Group,Running for Wellness
Aderholt,Robert,9,Wonderful Worldbuilding,D&D and other TTRPGs,Rocket Science
Brooks,Mo,10,ASM Work Party,Silkscreen,D&D and other TTRPGs
Palmer,Gary,8,Songwriting,Songwriting,Songwriting
Sewell,Terri,12,Songwriting,Rocket Science,Creative Writing
Jones,Doug,8,Rocket Science,Food Pantry,
Shelby,Richard,8,D&D and other TTRPGs,Silkscreen,Food Pantry
Crawford,Eric,12,Songwriting,Rocket Science,Creative Writing
Hill,French,9,Songwriting,Songwriting,Community Service/Career Exploration
Womack,Steve,12,Silkscreen,Chess,Math Help w/Sam
Westerman,Bruce,8,Food Pantry,Community Service/Career Exploration,D&D and other TTRPGs
Boozman,John,7,,,
Cotton,Tom,11,Math Help w/Sam,Songwriting,Silkscreen
Amata,Aumua,9,D&D and other TTRPGs,Wonderful Worldbuilding,Chess
O'Halleran,Tom,7,Running for Wellness,Food Pantry,Chess
Kirkpatrick,Ann,12,Other,,
Grijalva,Ra'ul,8,Rocket Science,Reaching Out to Elders,Chess
Gosar,Paul,6,Chess,Rocket Science,Songwriting
Biggs,Andy,10,,,
Schweikert,David,11,,,
Gallego,Ruben,8,"Fish, Flipbooks, and Film",Community Service/Career Exploration,Reaching Out to Elders
Lesko,Debbie,8,Food Pantry,D&D and other TTRPGs,Rocket Science
Stanton,Greg,10,Plant Biology Lab,D&D and other TTRPGs,Wonderful Worldbuilding
McSally,Martha,12,,,
Sinema,Kyrsten,8,Food Pantry,"Fish, Flipbooks, and Film",Silkscreen
LaMalfa,Doug,11,Food Pantry,Silkscreen,
Huffman,Jared,7,Rocket Science,Silkscreen,"Fish, Flipbooks, and Film"
Garamendi,John,6,Songwriting,D&D and other TTRPGs,Rocket Science
McClintock,Tom,6,D&D and other TTRPGs,"Fish, Flipbooks, and Film",Youth Farm Harvest Project
Thompson,Mike,12,,,
Matsui,Doris,10,Plant Biology Lab,Plant Biology Lab,Plant Biology Lab
Bera,Ami,7,Silkscreen,Acapella Group,Chess
Cook,Paul,12,Other,Youth Farm Harvest Project,Prisoner Express
McNerney,Jerry,7,Fantasy Football,Chess,Rocket Science
Harder,Josh,7,Fantasy Football,Fantasy Football,Fantasy Football
DeSaulnier,Mark,9,Silkscreen,Songwriting,Food Pantry
Pelosi,Nancy,6,Chess,Rocket Science,"Fish, Flipbooks, and Film"
Lee,Barbara,7,Chess,Chess,Other
Speier,Jackie,8,Silkscreen,Food Pantry,"Fish, Flipbooks, and Film"
Swalwell,Eric,9,Fantasy Football,Chess,Rocket Science
Costa,Jim,9,Creative Writing,Silkscreen,Math Help w/Sam
Khanna,Ro,9,Wonderful Worldbuilding,Math Help w/Sam,Creative Writing
Eshoo,Anna,11,,,
Lofgren,Zoe,6,Youth Farm Harvest Project,Youth Farm Harvest Project,Chess
Panetta,Jimmy,11,,,
Cox,TJ,9,D&D and other TTRPGs,D&D and other TTRPGs,D&D and other TTRPGs
Nunes,Devin,10,Chess,Acapella Group,Rocket Science
McCarthy,Kevin,10,Songwriting,Creative Writing,D&D and other TTRPGs
Carbajal,Salud,7,"Fish, Flipbooks, and Film",Acapella Group,Silkscreen
Hill,Katie,6,Songwriting,Chess,Rocket Science
Brownley,Julia,11,Silkscreen,Math Help w/Sam,Chess
Chu,Judy,8,Math Help w/Sam,"Fish, Flipbooks, and Film","Fish, Flipbooks, and Film"
Schiff,Adam,10,Math Help w/Sam,D&D and other TTRPGs,Rocket Science
C'ardenas,Tony,11,,,
Sherman,Brad,6,Silkscreen,Chess,Fantasy Football
Aguilar,Pete,12,,,
Napolitano,Grace,6,Rocket Science,D&D and other TTRPGs,Chess
Lieu,Ted,9,D&D and other TTRPGs,Chess,Silkscreen
Gomez,Jimmy,11,Math Help w/Sam,Silkscreen,Math Help w/Sam
Torres,Norma,6,Silkscreen,"Fish, Flipbooks, and Film",Rocket Science
Ruiz,Raul,11,Silkscreen,ASM Work Party,Creative Writing
Bass,Karen,12,Plant Biology Lab,Plant Biology Lab,Plant Biology Lab
S'anchez,Linda,7,Acapella Group,Silkscreen,Math Help w/Sam
Cisneros,Gilbert,6,,Rocket Science,Other
Roybal-Allard,Lucille,9,Songwriting,"Fish, Flipbooks, and Film",Creative Writing
Takano,Mark,10,Fantasy Football,Chess,Fantasy Football
Calvert,Ken,12,Songwriting,Chess,Wonderful Worldbuilding
Waters,Maxine,9,"Fish, Flipbooks, and Film",Songwriting,Creative Writing
Barrag'an,Nanette,9,D&D and other TTRPGs,Chess,Rocket Science
Porter,Katie,9,Math Help w/Sam,Chess,Silkscreen
Correa,J.,7,,,
Lowenthal,Alan,11,Other,,
Rouda,Harley,10,Math Help w/Sam,Silkscreen,Creative Writing
Levin,Mike,9,Songwriting,"Fish, Flipbooks, and Film",Creative Writing
Hunter,Duncan,6,Youth Farm Harvest Project,Running for Wellness,Silkscreen
Vargas,Juan,12,Math Help w/Sam,Chess,Community Service/Career Exploration
Peters,Scott,6,Silkscreen,D&D and other TTRPGs,Acapella Group
Davis,Susan,6,Acapella Group,Running for Wellness,Songwriting
Feinstein,Dianne,11,,,
Harris,Kamala,8,"Fish, Flipbooks, and Film",Songwriting,Chess
DeGette,Diana,11,,,
Neguse,Joe,6,Silkscreen,Chess,Songwriting
Tipton,Scott,8,,,
Buck,Ken,12,,,
Lamborn,Doug,10,Plant Biology Lab,Chess,D&D and other TTRPGs
Crow,Jason,12,Other,Other,Other
Perlmutter,Ed,7,Rocket Science,Chess,Fantasy Football
Bennet,Michael,12,,,
Gardner,Cory,12,Fantasy Football,,
Larson,John,12,,,
Courtney,Joe,12,D&D and other TTRPGs,Math Help w/Sam,Creative Writing
DeLauro,Rosa,7,D&D and other TTRPGs,Chess,Rocket Science
Himes,James,9,D&D and other TTRPGs,Chess,"Fish, Flipbooks, and Film"
Hayes,Jahana,10,Fantasy Football,,
Blumenthal,Richard,9,Acapella Group,Acapella Group,Acapella Group
Murphy,Christopher,8,Rocket Science,Reaching Out to Elders,Chess
Norton,Eleanor,8,Other,Wonderful Worldbuilding,"Fish, Flipbooks, and Film"
Blunt Rochester,Lisa,9,Chess,,
Carper,Thomas,8,Rocket Science,D&D and other TTRPGs,Chess
Coons,Chris,8,Rocket Science,D&D and other TTRPGs,Rocket Science
Gaetz,Matt,8,D&D and other TTRPGs,Chess,Rocket Science
Dunn,Neal,9,Food Pantry,Rocket Science,Wonderful Worldbuilding
Yoho,Ted,10,Plant Biology Lab,Prisoner Express,Reaching Out to Elders
Rutherford,John,7,Rocket Science,Chess,Songwriting
Lawson,Al,7,D&D and other TTRPGs,Rocket Science,
Waltz,Michael,10,ASM Work Party,ASM Work Party,ASM Work Party
Murphy,Stephanie,7,Songwriting,Rocket Science,Chess
